id,tweet,task_1,label
hasoc_en_75,except trumps hand already caught cookie jar trying get dirt opponent russia remember trump tower trumpisatraitor impeachmenthearingsnow,NOT,0
hasoc_en_76,crabs live covering lies sleazy cheating gop gt viva la resistance trump fucktrump libcrib,NOT,0
hasoc_en_77,livpure glo 7l rouv mineralizer water purifier rs9499 mrp15990 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall,NOT,0
hasoc_en_78,awaited variant oneplus oneplus7pro almond buy emi starting 2495 oneplus7ishere oneplus7series oneplus7 worldblooddonorday shameonicc fridaymotivation nbafinals fridayfeeling wethenorth,NOT,0
hasoc_en_79,ted bundys final meal didnt even pick execution murderer killer tedbundy breakfast lethalinjection,NOT,0
hasoc_en_80,dear sir please look video met earlier homeminster tgsfraud dreamzgkfraud like also promisedimafraud,NOT,0
hasoc_en_81,dear world cup club cricket please check umpiring errors instead gloves dhonikeepstheglove dhonikeeptheglove dhonikesaathdesh,NOT,0
hasoc_en_82,indvsnz toss likeshameonicc,NOT,0
hasoc_en_83,instead focusing game unnecessary controversy wearing symbol way show respect rather win worldcup dedicate forces give high n respect worldover matter priority n focusdhonikeepstheglove,NOT,0
hasoc_en_84,boris johnson chaos stability really simple toryleadership borisjohnsonshouldnotbepm,NOT,0
hasoc_en_85,dhonikeepstheglove whats wrong dhoni first soldier cricketer,NOT,0
hasoc_en_86,doctorsfightback presidentsrule option tmc goons r control,NOT,0
hasoc_en_87,okay dhonikeepstheglove dhonikesaathdesh,NOT,0
hasoc_en_88,supportdhoni msdhoni dhonikesaathdesh dhoni bcci cwc19 dhonikeepthegloves dhonikeepstheglove dhonikeepbalidaanbadgeglove balidanbadge balidan bbccricket cricketworldcup2019 worldcup2019 retweet msdhonigloves like,NOT,0
hasoc_en_89,part murderer,NOT,0
hasoc_en_90,hypocrisy indian elite savebengal savethedoctors india mamatalosingcontrol mamatabanerjee kolkata westbengal bengaldoctorsstrike democracy doctorsfightback doctorsstrike doctorsprotest,NOT,0
hasoc_en_91,5000 doctors non medicos walked nrs cnmc cause history created probably one biggest movement carried doctors doctorsfightback,NOT,0
hasoc_en_92,destroy country like defending country treasonous traitor white house trumpisatraitor trumptaxes trumpsaninternationaldisgrace trumpmustresign,HOF,1
hasoc_en_93,gabor nails voice reason borisjohnsonshouldnotbepm,NOT,0
hasoc_en_94,minutes left almond oneplus7pro available sbi cash back 2000 6 months cost emi quick hands buy oneplus7 oneplus7ishere oneplus7pro oneplus wethenorth shameonicc fridaymotivation fridayfeeling nbafinals,NOT,0
hasoc_en_95,aoc asks fbi give white supremacists pass resist resisttrump fucktrump,NOT,0
hasoc_en_96,anything get trump hell except cheat like trump fucktrump bluewave2020,HOF,1
hasoc_en_97,boris johnson lie anything gives advantage local elections forced delete tweet claiming votedbut elections area trumplike compulsive liar cant stop borisjohnsonshouldnotbepm,NOT,0
hasoc_en_98,ian bagg part 4 told feature act asked sell album show nope came fact douchebag 50yearoldman 47viewedpodcast,NOT,0
hasoc_en_99,nasty lot toryleadershipcontest contenders exposed toryleadershipcontest borisjohnsonshouldnotbepm,NOT,0
hasoc_en_100,marlon craft gang shit official music video via fucktrump copsarethegang,NOT,0
hasoc_en_101,want unite country commit anyone us scared face bit public scrutiny shouldnt allowed run prime minister borisjohnsonshouldnotbepm borisjohnson toryleadership toryleadershipdebate toriesout,NOT,0
hasoc_en_102,analysis sarah sanders legacy death white house press briefing resist resisttrump fucktrump,NOT,0
hasoc_en_103,looks like lying incompetent homophobic racist borisjohnson next tory leaderwell least well get generalelection eh boris borisjohnsonshouldnotbepm torydrugoff toryleadershipcontest,HOF,1
hasoc_en_104,windmill fan wind turbine good environment fucktrump,NOT,0
hasoc_en_105,applaudable move doctors save lives must support voilence savethedoctors doctorsfightback,NOT,0
hasoc_en_106,work scapegoats centre intervene doctorsfightback,NOT,0
hasoc_en_107,mitch mcconnell welcomes russian interference resist resisttrump fucktrump,NOT,0
hasoc_en_108,doctor needs assualted killed every patient dies treatment list people also deserve fate savethedoctors savebengal savethesaviour savedoctors doctorsfightback doctorsstrike doctorsprotest doctor doctorstrike,NOT,0
hasoc_en_109,says guy killed tree macron gave u friendship n peace sad douchebag,NOT,0
hasoc_en_110,youre finally going admit something bad past juice thejuiceisloose oj simpson golf course killer onthehunt real killers murder redrum murderer nicolebrownsimpson rongoldman admit comeclean tell truth,NOT,0
hasoc_en_111,borisjohnsonshouldnotbepm already ducking diving 5 friendly candidatesgod help us comes 27 european countries,NOT,0
hasoc_en_112,1death dr payal tadvi 2arresting dr kafeel khan 372 children die due insufficient oxygen doctors doctorsstrike doctorsfightback doctorsprotest savethedoctors,NOT,0
hasoc_en_113,vinay tewari consulting editor global sporting events across world work volunteers amp im sure england badly placed cant hire 100 people volunteers push cover ground shameonicc,NOT,0
hasoc_en_114,indianpsychiatricsociety stands indianmedicalassociation condemns violenceagainstdoctors doctorsfightback solidaritywithnrsmch stopviolenceagainstdoctors,NOT,0
hasoc_en_115,urge every indian send mail icc enquiry image asking cant keep logo glove dhonikeeptheglove dhonikeepstheglove,NOT,0
hasoc_en_116,japan disagreesthey saw something flying hitting boat trumpisatraitor,NOT,0
hasoc_en_117,india severity punishment holding bitcoin equivalent crime done rapist murderer money launderer extortionist really amazed see heading,NOT,0
hasoc_en_118,2uat objection dhonikeepstheglove,NOT,0
hasoc_en_119,job senators mbs murderer,NOT,0
hasoc_en_120,trumps constant attacks freepress merciless attacks democracys foundation fucktrump trumpfascism impeachthemf stopfascism drumpf resisttrump fascisttrump savedemocracy cult45 notmypresident stophate dumptrump putinspuppet fbr,NOT,0
hasoc_en_121,anything socalled president eating hamberders bed watching fauxnews tweeting locktrumpup impeachmentinquirynow impeachtrump impeachbarr impeachmnuchin trumpisatraitor,NOT,0
hasoc_en_122,meanwhile dhonis reply icc dhonikeeptheglove dhonikeepstheglove dhonikesaathdesh dhonigloves dhoni,NOT,0
hasoc_en_123,shift icccricketworldcup2019 india need rain shameonicc,NOT,0
hasoc_en_124,whole dhonis gloves controversy cwc19 outright immature amp mindless id understand anyone else youd question integrity amp intention guy pure amp genuine ambassador sport youll ever get dhonikeepstheglove,NOT,0
hasoc_en_125,losing 1 13 100 level disappointment winning 1 100 level achievement rewarded level celebration desired hard work rewarded charity douchebag,NOT,0
hasoc_en_126,proactive directive shameful interpretation journalist every movement turning point never doctorsfightback stopviolenceagainstdoctors,NOT,0
hasoc_en_127,bcci sorry cant allow ms dhoni keep army gloves reply salaam thok sar jhuka tu dum daba chal rasta naap le balidanbadge balidaninsignia msdhoni indiawithdhoni dhonikeepstheglove dhonikesathdesh boycottworldcup,NOT,0
hasoc_en_128,etsy shop benedict donald called president traitor shortsleeve unisex tshirt clothing shirt streetwear trump impeach treason traitor fucktrump impeachtrump,NOT,0
hasoc_en_129,trump downplays time said hed take help foreign actors offering dirt 2020 dems resist resisttrump fucktrump,NOT,0
hasoc_en_130,hes worst numbers president ever theres much lower go trumpisatraitor,HOF,1
hasoc_en_131,pay attention draft dodging charlatan behind curtain lol fucktrump dumbdonnythedraftdodgingdotard draftdodgerdonny,NOT,0
hasoc_en_132,shameonicc englishshameonicc indian daily soaps bahr aapki thoothoo ho rhi h znab,NOT,0
hasoc_en_133,someone really sent snap whilst 90mph lorry dickhead,NOT,0
hasoc_en_134,hurts duel citizenship sanctuary city hide douchebag,NOT,0
hasoc_en_135,fck us tho fucktrump,HOF,1
hasoc_en_136,watch short dark comedy time kill movie film comedy darkcomedy raunchy funny laugh laughoutloud hitman killer kill murder phone cellphone action thriller gun silencer lube condom tense tension dog boxer cutedogs murderer,NOT,0
hasoc_en_137,got back twitter weeks ago dont many followers feel free add fucktrump,NOT,0
hasoc_en_138,50 approval resign fucktrump fuckthatputo,NOT,0
hasoc_en_139,trumpisatraitor call member congress,NOT,0
hasoc_en_140,doctorsfightback political colour us doctors say protesting doctors nrs hospital kolkata refuting west bengal cm mamata banerjee even doctors across india stand,NOT,0
hasoc_en_141,getting even lock cutlery murderer,NOT,0
hasoc_en_142,wow fakedonaldtrump discussing venezuela actually stating always right since liertrump never right bold faced lie statement nightmare end congress impeachtrump idiottrump,NOT,0
hasoc_en_143,oh emma competition also already lost fucktrump,NOT,0
hasoc_en_144,indvnz cricket fans venting frustration shameonicc tweets wondering ground staff could cover entire ground rain warning given advance take look tweets,NOT,0
hasoc_en_145,one worst times american causing serious damage country sure dont wish happy fathers day everyone knows youre terrible father derangeddonald trumpisatraitor trumpisacriminal,HOF,1
hasoc_en_146,trump doesnt know hell talking cant help spew bllshit hes disgrace amp 2020 get fast enough fuckfacevonclownstick fucktrump locktrumpup impeachthemf impeachthemftraitor,HOF,1
hasoc_en_147,trumpisatraitor theresistance dont get wrong theres nothing funny trump said hand really amusing,NOT,0
hasoc_en_148,43 percent hate speech facebook initially removed restored within 90 days 100 restored posts islamophobic naturefacebook india drowning antimuslim hate speech islamophobia via,NOT,0
hasoc_en_149,oh definitely wouldve sold everybody trumpisatraitor trumpmustresign,NOT,0
hasoc_en_150,fucktrump 41million settlement central park five case gets final approval,NOT,0
hasoc_en_151,false journalists agendas none existant fabrications douchebag,NOT,0
hasoc_en_152,goddamit fucktrump,NOT,0
hasoc_en_153,amrinder singh malhi president rda aiims resident doctors back work continue symbolic protest wearing black badges bandagesamphelmets condition worsens go indefinite strike june 17 doctorsfightback,NOT,0
hasoc_en_154,america murderer come convicted criminal immediately get half million followers youre following youre condoning actions validating ojdidit conman murderer,NOT,0
hasoc_en_155,lawmakers guts trumpisatraitor,NOT,0
hasoc_en_156,ill type slowly understand gop originated request steele dossier made trump nominee steele brit ally russian adversary clinton traitor trumpisatraitor gopcomplicittraitors,NOT,0
hasoc_en_157,could tom amp rory show got get rid elephant room borisjohnsonshouldnotbepm corbynmustgo bollockstobrexit,NOT,0
hasoc_en_158,dukarr mullahs drying business deals bloody beggars allah ke naam de de chalo tamatar toh dedo indvpak cwc19 modijisemilnahai fridaymotivation modisurgicalsnub modiglobalpower imrankhan cwc11 imranhataomulkbachao,HOF,1
hasoc_en_159,love selective memory amp projecting right get owned happyjohnmccainday2019 cadetbonespurs trumpisatraitor npd fridaythoughts,NOT,0
hasoc_en_160,know else crazy murderer play race card get amp even though everyone knows claims hes going find real killers murderer,NOT,0
hasoc_en_161,shameonicc plz stop,NOT,0
hasoc_en_162,appeal doctors westbengal throughout country return work poor people suffering assure shall fight bengal govt central govt better security 2doctors doctorsfightback savethedoctors indian medical association prannoyroy,NOT,0
hasoc_en_163,remaining get washed nz 12 ind 11 eng 10 aus 10 wi 9 sl 9 pak 9 bang 8 sa 6 afg 6 semi final aus vs nz rain continues nz eng vs ind rain continues ind final ind vs nz rain continues nz india win jointly shameonicc,NOT,0
hasoc_en_164,honorable noble human huh douchebag,NOT,0
hasoc_en_165,beautiful jail cell beautiful notepad write beautiful love letters putin lil rocket man xi mbsoh yeah big beautiful painted mural john mccain robert mueller cell walls fucktrump,NOT,0
hasoc_en_166,russian elected twit putinspuppet trumpisatraitor,NOT,0
hasoc_en_167,oak tree given idiottrump macron dies mysterious circumstances,NOT,0
hasoc_en_168,hump day 9 fucktrump votebluenomatterwho,NOT,0
hasoc_en_169,fucktrump birthday,NOT,0
hasoc_en_170,think guy planned trip uk india watch indvsnz told friends spent 3 lakh rupees everything experience old rain shameonicc,NOT,0
hasoc_en_171,ex army men amp tory mps rory stewart amp tobias ellewood shudder thought boris pm year 75th anniversary dday wonder whereswally boris borisjohnsonshouldnotbepm cowardsfollowcowards absentfathers,NOT,0
hasoc_en_172,pretty pathetic social media acct dedicated hating someone ironic people chanting things like lovetrumpshate loveislove ones say fucktrump hypocrites,NOT,0
hasoc_en_173,one slays aussies indvaus cwc2019 cwc19 dhonikeepstheglove,NOT,0
hasoc_en_174,murderer think family,NOT,0
hasoc_en_175,happy john mccain day cadet bonespurs johnmccainday trumpisatraitor,NOT,0
hasoc_en_176,gone looking remaining fragments soul trump trumpisatraitor,NOT,0
hasoc_en_177,followed ms goldman yesterday blocked murderer yesterday ive followed since bad boy sued please follow,NOT,0
hasoc_en_178,happy johnmccainday trumpthedraftdodger mccaintrumpsbday johnmccainamericanhero trumpisatraitor johnmccainday,NOT,0
hasoc_en_179,1 stop fashion women kurta rs199 mrp1107 1 stop fashion offers doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall,NOT,0
hasoc_en_180,kamala harriss plan provide dreamers pathway citizenship explained resist resisttrump fucktrump,NOT,0
hasoc_en_181,best way show commitment real criminal justice reform would get rid criminal white house trumpisatraitor dosomethinggop,NOT,0
hasoc_en_182,fbi agents struck paige fired exercised freedom speech speech trumpisatraitor 45isacriminal trumpcrimefamily mcconnellmustgo mcconnellchaocorruption,NOT,0
hasoc_en_183,correct time moderation cannot moderate head inside tigers mouth fucktrump,NOT,0
hasoc_en_184,like seriously literally tell friends everyday health water hydrated healthy worldblooddonorday nbafinals fridaymotivation fridayfeeling shameonicc wethenorth instagramdown india meme sarcasmonly,NOT,0
hasoc_en_185,stopboris borisjohnsonshouldnotbepm borisdoesnotrepresentme c4debate inspirational woman francesca,NOT,0
hasoc_en_186,billion cricket fans waited four years watch rains england cricket grounds becoming swimming pools shameonicc cwc19,NOT,0
hasoc_en_187,chernobyl shameonicc akimov turbine going slow test deliver valid results amp add mor dyatlov,NOT,0
hasoc_en_188,appeal doctors channel strike years responsible common people helpless second god doctorsfightback doctorsprotest doctorsstrike,NOT,0
hasoc_en_189,ron goldmans sister hails hero first interview since oj simpson trial source rongoldman kimgoldman fredgoldman nicolebrownsimpson oj ojsimpson thejuice murderer,NOT,0
hasoc_en_190,fully endorse sir nationalpride opinion dhonikeepstheglove,NOT,0
hasoc_en_191,happy johnmccainday fucktrump americansforimpeachment,NOT,0
hasoc_en_192,trumps gop allies privately cringe dirt comments resist resisttrump fucktrump,NOT,0
hasoc_en_193,u r living today bcoz doctors savethedoctors doctorsfightback mamatalosingcontrol,NOT,0
hasoc_en_194,must listen stand nrs via nrs savedoctors india news westbengal mamatalosingcontrol doctorsfightback doctorsstrike doctorsprotest,NOT,0
hasoc_en_195,anderson cooper trumps threats nothing resist resisttrump fucktrump,NOT,0
hasoc_en_196,sense creating issue nothing dhonikeepstheglove,NOT,0
hasoc_en_197,dhonikeeptheglove dear icc may know logo political religious logo army regiment ms dhoni nothing wrong dhonikeepstheglove icc please research,NOT,0
hasoc_en_198,knew police wouldnt anything something feel dont care safe twitter beardedweirdness dont kill rapist metoo becareful arthurcampos,NOT,0
hasoc_en_199,thinks maligned one like twitler avoid murderer,NOT,0
hasoc_en_200,shameonicc focuses ground instead glove issue already paid ticket,NOT,0
hasoc_en_201,shameonicc cwc19 winner incredible undisputed reigning attacker powerhitter pain none england rain,NOT,0
hasoc_en_202,firekellyanne trumpisatraitor mccainsahero johnmccaindayjune14 forget pencekneweverything,NOT,0
hasoc_en_203,trump says kim kept word hours bolton said hasnt resist resisttrump fucktrump,NOT,0
hasoc_en_204,things must know youre hindu worldblooddonorday shameonicc savebengal fridayfeeling scosummit2019 meninblackreview theunmissablemeeting doctorsstrike engvwi spiritual cultural hindu hinduism abrandnewdayoutnow,NOT,0
hasoc_en_205,news hard take hold belief matter looks like president gone somehow someway wish would show corruption tv impeachment hearings please someone explain isnt happening trumpisatraitor,NOT,0
hasoc_en_206,progressives like fool love kinds weapons murderer,NOT,0
hasoc_en_207,iccworldcup2019 turn swimming competition shameonicc,NOT,0
hasoc_en_208,happy john mc cain day fucktrump trumpcolluded lazysumbitch,NOT,0
hasoc_en_209,pete buttigieg gave first foreign policy speech offered 5 clear proposals resist resisttrump fucktrump,NOT,0
hasoc_en_210,whats priority life modijipleaseinkokaamdo abortionismurder indvaus ausvind indvsaus dhonikeeptheglove justicefortwinklesharma justiceforfarishta bharat freeprashantnow dhonikeepstheglove westbengal tirupati gabbarisback sachinopensagain starc,NOT,0
hasoc_en_211,chris georgiou bojo house via check absolutely brilliant borisjohnson bojo borisjohnsonshouldnotbepm,NOT,0
hasoc_en_212,doctorsprotest doctorsstrike doctorstrike doctorsfightback doctorsunderoppression doctors remember dr kafeel khan uttarpradesh jailed government doctors fought back anything political,NOT,0
hasoc_en_213,crook national embarrassment fucktrump impeach45 happy johnmccainday,HOF,1
hasoc_en_214,johnson slang penis dickhead nominativedeterminism toriesout peoplesvote blindingobvious,HOF,1
hasoc_en_215,japanese internment camp latinos kids shit going way far family separation upgraded fucktrump bernie2020 berniesanders,NOT,0
hasoc_en_216,going gun loser trump wh dickhead,NOT,0
hasoc_en_217,thats story indian battingwhen top3 clickswe dont need stable no4we need finishers germanycheersforindia indvaus iccworldcup2019 ausvind ausvsind dhoni dhonikeepstheglove shikhar rohit kohli pandya,NOT,0
hasoc_en_218,womensrights humanrights fucktrump us court rules trump administration immigrant teen abortion case,NOT,0
hasoc_en_219,amazing quarterback high school tell watch 50 year old videos dolt45 loves prove pathetic loser please one day show little bit class douchebag,HOF,1
hasoc_en_220,uae investors hit dodgy halal firm imajewels folds india imafraud imascam bengaluru ponzi uae halal,NOT,0
hasoc_en_221,suppose hell celebrating birthday one golf properties taxpayer money trumpisatraitor resignandgiveamericaagift,NOT,0
hasoc_en_222,bcci recall team india back icc cwc next day hi icc would allow play army uniform dhonikeepstheglove,NOT,0
hasoc_en_223,glad see go hate watch leave whos replace mad dog hate speech pirro fucktrump trump2020,NOT,0
hasoc_en_224,muchas gracias thus great review spanish edition pool poet murderer lecturas de undine resea la poeta el asesino simon worrall truecrime forgery,NOT,0
hasoc_en_225,whats wrong rain interrupted england shameonicc engvwi rain see complete match today,NOT,0
hasoc_en_226,required boycott tournament dhonikeeptheglove dhonikeepstheglove dhoni,NOT,0
hasoc_en_227,press enemy people trumpisatraitor johnmccaindayjune14th,NOT,0
hasoc_en_228,brand logo put money symbol pride dhonikeepstheglove,NOT,0
hasoc_en_229,gag reflex kicking trumpisatraitor,NOT,0
hasoc_en_230,stand doctors doctors need support world needs interfere uno doctorsprotest doctorsfightback,NOT,0
hasoc_en_231,fucktrump never forget centralparkfive known exoneratedfive,NOT,0
hasoc_en_232,councillor borisjohnsonshouldnotbepm,NOT,0
hasoc_en_233,best part india host 2023 cricket world cup compare grounds spectators advertisements opening ceremony rain management schedule venues fan support thatll enough put ecb shame shameonicc bcci,NOT,0
hasoc_en_234,gop congress find utterly disgusting almost impossible listen try justify fucked trump really disheartening fucktrump fuckthegop,HOF,1
hasoc_en_235,looks like bag guts trumpisatraitor,NOT,0
hasoc_en_236,makes sense tragic trumpisacriminal trumpisatraitor,NOT,0
hasoc_en_237,man completely nailed mamata politics hypocrisy doctorsfightback,NOT,0
hasoc_en_238,dhonikeepstheglove support dhoni pride india,NOT,0
hasoc_en_239,ppl replying annoying fucktrump,NOT,0
hasoc_en_240,think word cup conducted bcci icc doesnt enough funds cover ground also shameonicc,NOT,0
hasoc_en_241,walk around adam shiftys la district tell kind politician douchebag,NOT,0
hasoc_en_242,doctorsfightback incident happened 10th today 14th done hostels trespassed upon protestors threatened dr swati media representative resident doctors association aiims,NOT,0
